symbol,date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number
NVDA,2025-04-30,125254000,41411000,83843000,92307000,83843000,1821000,77576000,63393000,92307000,77576000,10285000,,24387557.07,24387557.07
NVDA,2025-01-31,111601000,32274000,79327000,87790000,79327000,1807000,73332000,62079000,87790000,73332000,10270000,,24477000.0,24477000.0
NVDA,2024-10-31,96013000,30114000,65899000,74361000,65899000,1763000,60337000,51161000,74361000,60337000,10225000,,24508000.0,24508000.0
NVDA,2024-07-31,85227000,27070000,58157000,66618000,58157000,1554000,52583000,45664000,66618000,52583000,10015000,,24562000.0,24562000.0
NVDA,2024-04-30,77072000,27930000,49142000,57602000,49142000,1527000,43703000,38506000,58852000,43703000,11237000,2123000.0,24598341.97,24598341.97
